order_item_id,order_id,product_id,advertisement_id,order_item_quantity,order_item_unit_price
79975280,99195432,6789150,,4.0,29.42
39496087,93163681,3201007,,4.0,14.06
57238112,32826333,3222681,,6.0,6.0
50775527,14742018,2778781,,4.0,33.42
57590983,68336930,7658490,,2.0,25.12
43210004,98595940,5730365,,6.0,42.44
13182816,81199148,9818044,,6.0,29.29
42838293,68704694,2174943,,2.0,42.48
36075664,31318366,3170829,,3.0,25.29
57144864,67432523,4232484,,3.0,30.44
60555235,82881265,6089661,,3.0,39.09
7227369,80856775,3827354,,4.0,19.86
795950,45255509,5730365,,5.0,42.44
5453870,43016188,6789150,,1.0,29.42
41050496,21050840,9884348,,3.0,40.7
94755377,63766692,1912311,,4.0,26.48
47936702,20661283,3274757,,6.0,24.64
41763191,67844399,3402388,,3.0,56.35
38282834,82881265,8002683,,4.0,15.77
71631100,43016188,2233725,,5.0,15.24
74643596,97713916,1912311,,4.0,26.48
83441025,93380254,3220550,,5.0,33.31
53827542,65751989,9084613,,6.0,32.72
48814286,60546044,7658490,,5.0,25.12
43519075,25475619,8002683,,3.0,15.77
94608583,57102524,9474908,,5.0,24.56
78309199,14691664,4437868,,4.0,53.59
79304219,92829712,9760902,,1.0,33.1
2369995,32409125,5764783,,5.0,15.94
5124493,91947937,6611890,,5.0,50.42
34813206,51326624,8002683,,2.0,15.77
62169916,15276690,9884348,,2.0,40.7
95696967,33290807,5222046,,2.0,25.68
73384980,17183641,1952636,,7.0,11.06
33629428,73237285,3274757,,5.0,24.64
35641741,52886680,9760902,,4.0,33.1
51043316,13175549,4128735,,4.0,51.46
86204428,51873577,7455681,,4.0,30.59
91594070,22275278,3200812,,3.0,12.39
44468710,49321991,8014874,,2.0,25.9
43907106,12109693,4593958,,4.0,43.72
77675981,35277939,9760902,,4.0,33.1
88566072,93977657,9084613,,4.0,32.72
75204437,62177055,6089661,,3.0,39.09
34699568,13214889,1734778,,5.0,7.34
54305646,69379063,5730365,,4.0,42.44
73544025,98595940,3222681,,3.0,6.0
48019611,63766692,7971455,,5.0,58.68
73780022,55493840,6611890,,5.0,50.42
90408480,15534925,8221101,,2.0,18.02
54258186,49321991,4949417,,6.0,30.56
972768,68704694,7932799,,5.0,44.67
87914031,71217634,7032885,,6.0,44.88
92957827,40582794,6089661,,1.0,39.09
12009448,61194907,3402388,,2.0,56.35
10699128,56024835,5084719,,5.0,44.52
81979689,94117619,4072304,,4.0,29.33
63930638,69379063,9884348,,3.0,40.7
99236986,41710817,7060829,,4.0,27.76
13997685,14742018,2162450,,6.0,28.42
87971808,61696277,3274757,,4.0,24.64
66347789,50441557,4232484,,4.0,30.44
23618405,12622004,3827354,,4.0,19.86
40647052,21518960,4593958,,3.0,43.72
70173929,50449982,3220550,,3.0,33.31
16973013,73237285,8670750,,3.0,36.4
37375675,14691664,3220550,,4.0,33.31
25435904,26350738,3220550,,4.0,33.31
26269914,13433706,9760902,,7.0,33.1
57119136,54679351,3220550,,2.0,33.31
7047758,61696277,1912311,,3.0,26.48
74795501,37425828,1212383,,2.0,28.13
30714195,60546044,9818044,,5.0,29.29
95532366,70790059,7060829,,1.0,27.76
68206196,50449982,4232484,,2.0,30.44
17062942,68704694,7554000,,4.0,26.78
41304554,51873577,9437191,,3.0,18.91
7816247,33654799,6089661,,2.0,39.09
91124067,54565381,3200812,,2.0,12.39
17599755,54340867,1212383,,5.0,28.13
27949120,92053234,4232484,,2.0,30.44
8521885,62369466,4949417,,6.0,30.56
26227569,50441557,8454786,,2.0,51.24
6727874,53029975,2174943,,2.0,42.48
8231700,22311993,4457380,,5.0,40.57
32798597,54199613,8764892,,3.0,52.3
85443801,81199148,7658490,,4.0,25.12
82203893,53243155,7971455,,4.0,58.68
47405230,31969925,9817357,,5.0,37.03
98854528,63738965,8764892,,2.0,52.3
39391486,19819529,5169185,,1.0,33.09
8582585,81665141,7823025,,4.0,37.7
97294709,67432523,9612746,,6.0,18.49
74155386,22838962,3220550,,2.0,33.31
60487631,26350738,4524428,,5.0,50.39
29585248,16862151,4232484,,3.0,30.44
51850944,37425828,9406398,,5.0,67.91
62960706,56586401,7455681,,4.0,30.59
72473622,52742395,4231141,,2.0,41.09
66325126,73237285,4524428,,3.0,50.39
22433988,87975820,1912311,,6.0,26.48
45064281,13035939,4231141,,4.0,41.09
97468648,47176056,1952636,,2.0,11.06
86495753,55269286,5169185,,5.0,33.09
24838020,72525054,3222681,,4.0,6.0
4558813,41996576,5169185,,2.0,33.09
64597024,14742018,5724452,,5.0,33.34
76633336,22311993,6789150,,4.0,29.42
12272635,91947937,9474908,854323,5.0,13.17
23131467,99195432,5724452,783899,5.0,18.57
19516536,70681694,5329248,697717,5.0,10.04
55438294,50441557,5329248,697717,3.0,10.04
35002806,95919692,8014874,114716,3.0,4.26
32068901,62858865,1734778,783838,3.0,3.98
44026661,62369466,9406398,155707,2.0,30.49
97472299,75743390,7823025,355119,4.0,15.49
44795766,31969925,2778781,252835,5.0,12.08
22440573,49321991,2778781,252835,4.0,12.08
18008035,52886680,7554000,522764,3.0,11.6
26293096,67844399,5724452,783899,6.0,18.57
69099850,92829712,7658490,910042,2.0,9.18
81821198,80856775,4524428,445599,6.0,13.59
8161511,69550589,1734778,783838,4.0,3.98
86929039,98595940,5329248,697717,3.0,10.04
26106098,13035939,7554000,522764,4.0,11.6
1503962,93163681,5084719,932873,2.0,29.27
64216347,29580805,4072304,764403,5.0,11.66
61381405,42463710,6089661,275804,4.0,5.47
91065578,23653029,5084719,932873,5.0,29.27
34613258,30914889,3226910,901714,2.0,19.96
58915342,14064108,8014874,114716,7.0,4.26
37534017,97713916,5329248,697717,3.0,10.04
53601347,54679351,4168729,344375,4.0,41.29
89279734,41996576,4375297,165586,3.0,12.9
92089136,63766692,8764892,488059,4.0,41.42
40208221,78248311,5084719,932873,3.0,29.27
75937303,73315691,4072304,764403,5.0,11.66
25182811,18019128,8014874,114716,4.0,4.26
30247136,84026325,7823025,355119,4.0,15.49
49673726,38909317,7823025,355119,5.0,15.49
78241131,95919692,9474908,854323,3.0,13.17
1970702,11409099,8014874,114716,4.0,4.26
10124435,44126874,4375297,165586,4.0,12.9
48723815,77608190,4168729,344375,3.0,41.29
62604793,33508443,8764892,488059,3.0,41.42
51882357,23653029,7554000,522764,3.0,11.6
34622645,82217266,8352909,957407,3.0,17.15
99241268,61696277,6089661,275804,4.0,5.47
42853904,18582463,5084719,932873,3.0,29.27
67580218,77608190,3274757,169895,6.0,6.68
63184347,43016188,3226910,901714,5.0,19.96
9679045,19143784,8352909,957407,4.0,17.15
54538895,62369466,8014874,114716,4.0,4.26
