order_id,cust_id,order_status,order_date
25591096,hddc81ec210,Pending,2022-03-15 18:22:03
13821190,jknb60bw985,Shipped,2022-10-14 04:58:31
96097907,xeej75tw517,Pending,2024-01-14 16:08:48
28451632,hddc81ec210,Processing,2020-11-14 08:43:40
34864968,qfri57up189,Delivered,2023-11-25 14:15:18
41248828,nkxy46et233,Shipped,2023-11-29 06:13:28
48181096,reuu08xr885,Cancelled,2021-10-02 06:49:19
37834470,reuu08xr885,Pending,2023-03-01 16:04:39
26282491,jknb60bw985,Pending,2019-01-12 23:22:17
94860514,bdkh02gi543,Shipped,2021-09-20 06:24:53
54028025,vzge76mt888,Pending,2023-09-14 05:02:10
74579325,hhdt96st958,Processing,2021-06-30 05:53:54
39558296,ewsy75uy465,Delivered,2019-10-16 23:38:38
28408404,yqyh60yh360,Pending,2020-09-21 19:13:00
60638226,bdkh02gi543,Delivered,2020-06-20 10:51:17
21296697,wamr00ny890,Pending,2022-01-30 13:15:37
18526987,dvwg72da671,Pending,2021-02-26 16:12:22
27355621,xeej75tw517,Shipped,2023-12-31 08:44:23
86493613,nfol37yq810,Shipped,2019-09-01 16:48:45
88120760,vpsf38ts499,Pending,2023-03-11 01:18:09
55017520,hddc81ec210,Pending,2023-06-01 15:47:02
51708469,nfol37yq810,Pending,2021-02-08 10:56:27
54523662,wamr00ny890,Cancelled,2021-11-07 16:24:06
10073497,qfri57up189,Processing,2020-07-26 00:45:55
57904501,vadg21cm780,Shipped,2022-07-04 21:24:04
57000697,dvwg72da671,Delivered,2021-12-26 05:23:02
69389788,qfri57up189,Shipped,2022-09-20 23:42:34
24171838,reuu08xr885,Cancelled,2021-11-28 13:02:52
48683311,hhdt96st958,Shipped,2020-07-13 18:46:12
54265595,xeej75tw517,Processing,2022-11-13 21:13:46
87108272,ewsy75uy465,Cancelled,2019-12-30 15:49:26
78450150,reuu08xr885,Delivered,2020-11-08 15:13:04
61553089,hhdt96st958,Processing,2021-05-04 19:54:15
40301788,wamr00ny890,Delivered,2023-01-09 13:09:56
63349061,vzge76mt888,Cancelled,2020-12-18 20:19:47
42837456,wamr00ny890,Shipped,2023-01-03 05:06:49
64248031,reuu08xr885,Shipped,2023-10-25 20:24:47
35653670,qfri57up189,Cancelled,2020-12-06 05:42:29
43226607,taxz84ck746,Cancelled,2019-05-27 04:25:04
54466673,xeej75tw517,Processing,2022-02-16 17:33:26
61040873,vadg21cm780,Pending,2020-11-13 22:27:39
71335147,qfri57up189,Shipped,2023-06-24 09:25:00
37263769,xeej75tw517,Processing,2020-10-14 07:25:04
80797743,vzge76mt888,Pending,2019-12-28 21:16:01
63434356,bdkh02gi543,Delivered,2019-03-11 14:38:11
90481771,taxz84ck746,Pending,2023-11-15 15:57:29
23871872,yqyh60yh360,Shipped,2022-05-04 23:16:52
10298124,vzge76mt888,Processing,2020-08-28 15:26:23
82186766,gths42sb475,Shipped,2022-11-10 06:00:03
41530590,vzge76mt888,Shipped,2022-04-03 13:46:31
