payment_id,cust_id,order_item_id,payment_status,payment_method
vpdq82uc517,bdkh02gi543,63434356,Completed,Bank Transfer
jhqt54bx122,hddc81ec210,28451632,Completed,Bank Transfer
flsq68ln152,gths42sb475,82186766,Completed,Debit Card
bujw50vf273,reuu08xr885,64248031,Processing,Debit Card
rccw22op033,vadg21cm780,57904501,Completed,Credit Card
mnsx81fu919,reuu08xr885,64248031,Processing,Debit Card
zgat23so968,jknb60bw985,13821190,Completed,Debit Card
cgrz76bk596,nfol37yq810,86493613,Processing,Credit Card
fcvu11lb554,qfri57up189,71335147,Cancelled,PayPal
fxli99yr636,hhdt96st958,48683311,Completed,PayPal
qfha99hh992,xeej75tw517,54265595,Pending,Credit Card
mnza83sd725,qfri57up189,71335147,Completed,Debit Card
aeoj81xo844,qfri57up189,34864968,Completed,Credit Card
gcbb01db219,hddc81ec210,28451632,Processing,Credit Card
yixd30if717,xeej75tw517,54265595,Completed,Debit Card
lgrp25yq600,jknb60bw985,13821190,Cancelled,Debit Card
ucjj74qn312,ewsy75uy465,39558296,Completed,Credit Card
mqtl79zv734,hhdt96st958,48683311,Cancelled,Debit Card
nnqt88ji137,qfri57up189,69389788,Cancelled,Credit Card
gwkk84pz304,reuu08xr885,64248031,Cancelled,PayPal
nrjb43cv932,reuu08xr885,64248031,Processing,Credit Card
gcmf80su356,xeej75tw517,54466673,Cancelled,Credit Card
nyvp28nw348,hhdt96st958,48683311,Cancelled,Credit Card
skaw31pm085,hhdt96st958,61553089,Cancelled,Credit Card
wttf94ht937,xeej75tw517,27355621,Cancelled,Credit Card
xkrr95km821,reuu08xr885,64248031,Processing,Credit Card
cczo69uz750,xeej75tw517,37263769,Completed,PayPal
rpqu43jq879,hddc81ec210,28451632,Cancelled,Debit Card
gowb36hd199,bdkh02gi543,60638226,Completed,Credit Card
kgoe55cg496,yqyh60yh360,23871872,Completed,Credit Card
frnc83hf733,qfri57up189,69389788,Cancelled,Credit Card
qave71xy354,vzge76mt888,41530590,Cancelled,Debit Card
hloy02xn190,jknb60bw985,13821190,Completed,Debit Card
yopt74gj247,wamr00ny890,40301788,Completed,Credit Card
tgfi88dn982,bdkh02gi543,60638226,Cancelled,Bank Transfer
yvsr59dn769,qfri57up189,71335147,Processing,Debit Card
waiq49kf260,xeej75tw517,27355621,Processing,Credit Card
krrn49tm795,bdkh02gi543,63434356,Cancelled,Debit Card
xrqv12jh231,xeej75tw517,54265595,Cancelled,Credit Card
fapr17de704,hhdt96st958,48683311,Processing,PayPal
lsmj64qb937,qfri57up189,10073497,Processing,Debit Card
xvvi00ya512,wamr00ny890,40301788,Processing,Debit Card
cnqi40gv660,qfri57up189,34864968,Processing,Debit Card
mqbl34hj115,hhdt96st958,74579325,Failed,PayPal
xedw60am795,reuu08xr885,78450150,Completed,Debit Card
jtut82zo405,dvwg72da671,57000697,Processing,Credit Card
erpj21ad498,yqyh60yh360,23871872,Cancelled,PayPal
sbmu83lc696,ewsy75uy465,39558296,Processing,Credit Card
ywle58mp388,dvwg72da671,18526987,Completed,Debit Card
hjyj30fb747,jknb60bw985,26282491,Failed,Debit Card
twhj22bo925,taxz84ck746,90481771,Processing,Debit Card
xrqx92en590,dvwg72da671,18526987,Pending,Debit Card
glkt83js796,vpsf38ts499,88120760,Failed,Credit Card
kbef68yd936,reuu08xr885,37834470,Completed,Credit Card
nxwy67zz309,reuu08xr885,37834470,Pending,PayPal
wuco19ln742,vzge76mt888,80797743,Processing,Debit Card
qqoo55bc108,wamr00ny890,54523662,Refund Failed,Credit Card
izje02ip916,wamr00ny890,54523662,Refund Completed,Credit Card
klqf77mc659,hddc81ec210,55017520,Completed,PayPal
uchu87cl571,taxz84ck746,43226607,Refund Processing,Credit Card
cutm42ra936,qfri57up189,35653670,Refund Completed,Debit Card
wmuq35zb201,reuu08xr885,37834470,Completed,Credit Card
cjtr51oa992,reuu08xr885,48181096,Refund Processing,Debit Card
gjdv89kf120,taxz84ck746,90481771,Failed,Debit Card
vxwm53dd096,wamr00ny890,21296697,Failed,Debit Card
bqtq69ow881,reuu08xr885,48181096,Refund Processing,Credit Card
xiqt15ba369,vpsf38ts499,88120760,Pending,Credit Card
euus26kj937,qfri57up189,35653670,Refund Processing,Credit Card
sqdn40bk013,wamr00ny890,21296697,Failed,Debit Card
vari15xs457,qfri57up189,35653670,Refund Failed,PayPal
teew58ik551,wamr00ny890,21296697,Processing,Credit Card
meyq26lq517,taxz84ck746,43226607,Refund Processing,Credit Card
kzzt37xx632,reuu08xr885,37834470,Failed,Debit Card
fhvk87ha941,xeej75tw517,96097907,Processing,Credit Card
daxk38ps198,dvwg72da671,18526987,Failed,Credit Card
xuds09kr227,vzge76mt888,63349061,Refund Failed,Credit Card
wbxf14cg380,qfri57up189,35653670,Refund Processing,Bank Transfer
rtda72ys212,vzge76mt888,63349061,Refund Failed,Bank Transfer
gtde49kc439,hddc81ec210,55017520,Failed,Credit Card
yywf91qs612,taxz84ck746,90481771,Completed,Debit Card
