product_id,supplier_id,products_category,product_name,product_description,product_price,product_length,product_height,product_width,product_weight
2296293,EKCI37ZR241,Clothing_and_Accessories,Maroon Earrings,"Magni natus cum illo. Dolorem pariatur quae delectus perspiciatis. Quasi dignissimos alias.
Aliquid nam placeat suscipit suscipit maxime porro.",11.84,48.82,23.43,72.53,93.78
6213192,WQEX03UM552,Home_and_Office,Lavender Plant Pot,Sed eos cupiditate ipsum. Porro vitae occaecati eligendi. Ullam repellat expedita tenetur architecto dolore quis necessitatibus.,32.74,42.71,4.67,46.22,60.32
1371303,QRJE65LX881,Home_and_Office,Yellow Tablet Cover,"Odit suscipit accusamus atque ullam sint deserunt. Impedit nisi nisi consequuntur.
Tenetur explicabo nobis ipsum explicabo fuga omnis doloremque. Quo odit iusto cupiditate illo praesentium molestiae.",31.11,67.39,17.54,49.52,27.92
7287585,PHVC68UR840,Technology_and_Electronics,Blue Portable Charger,Nemo deserunt ipsum deserunt architecto. Doloribus quae laboriosam expedita atque. Eveniet reiciendis excepturi omnis deleniti consequuntur distinctio beatae.,33.22,15.88,63.25,23.12,28.91
7872472,DXQC82SF416,Technology_and_Electronics,Maroon Wireless Earbuds,"Vitae adipisci consequuntur. Enim repellat deserunt ipsum at odit.
Facere natus esse explicabo. Harum cumque eligendi.
Occaecati assumenda nemo consectetur saepe repellat. In neque quidem.",6.56,97.78,42.65,63.16,49.82
5154826,YZKN99OF307,Clothing_and_Accessories,Orange Pants,"Omnis unde blanditiis rerum reprehenderit tenetur.
Temporibus illum illum odit. Delectus assumenda aperiam nobis nobis dolorem. Quo ut a incidunt.",37.72,66.69,15.67,17.28,13.13
8578719,UQKL78WS135,Technology_and_Electronics,Lavender Laptop Sleeve,"Expedita rerum doloribus quisquam saepe porro. Amet eos quibusdam laboriosam accusamus esse molestiae.
Laudantium aliquid fugiat deleniti in. Omnis commodi voluptate nam nam minus.",50.57,80.29,20.9,42.94,96.51
4627273,XQLM05TK473,Home_and_Office,Crimson Coffee Mug,"Architecto iusto perferendis illo.
Magni dignissimos necessitatibus distinctio sunt ipsam. Dignissimos totam a perferendis ut recusandae occaecati.
Veniam accusantium praesentium commodi provident.",36.41,42.07,73.58,89.57,78.33
5671263,PHVC68UR840,Home_and_Office,Aqua Vase,"Aliquid quasi vel dignissimos consectetur nobis.
Blanditiis vel explicabo consequuntur eius ducimus occaecati. Fugit voluptatibus iure culpa cupiditate magnam.",29.58,94.86,30.63,90.51,15.55
7908652,HQHX83VT540,Home_and_Office,Red Plant Pot,Amet molestiae molestiae adipisci quae ab porro. Autem amet accusantium dolor saepe amet porro aliquid. Porro quibusdam doloribus quas consequatur esse ipsam.,33.57,36.71,13.6,2.06,91.43
