supplier_id,supplier_name,supplier_city,supplier_address,supplier_postcode,supplier_email,supplier_contact
XQLM05TK473,Ryan Group,Barnet,5 Leanne forest,NW9 4TL,khobbs@example.com,07804 555134
OBGI71WD391,Archer PLC,Knowsley,"Studio 3
Taylor fields",L36 2QT,katiefletcher@example.org,07542 293247
SLDT65RV864,Tyler-Burke,Gwynedd,"Studio 56C
Georgia throughway",LL36 6HU,mjohnson@example.net,07672 050513
UPAN89TG013,Jenkins Inc,Wandsworth,166 Blackburn mills,SW15 2DN,chapmandennis@example.org,07902 403890
DALV34FU505,Potter-Bennett,Chesterfield,55 Jason knolls,S42 7QR,josephinedavies@example.net,07102 079224
HQHX83VT540,Marsh-Davies,Epping Forest,4 Stuart center,IG10 1NR,llewis@example.org,07435 819505
XURU71KI874,"Ward, Turner and Morris",Southwark,"Studio 59
Coleman expressway",SE1 2XT,rturner@example.com,07910 544722
YZKN99OF307,Miah Inc,Luton,"Flat 3
Boyle corners",LU2 0DT,roy86@example.net,07847 117542
UQKL78WS135,Thompson-Robinson,Cornwall,6 Smith vista,PL31 9XJ,oconnorlaura@example.com,07451 455602
QRJE65LX881,Holland-Lewis,Powys,"Flat 25
Jacqueline station",SY16 9NN,nedwards@example.org,07296 040653
EKCI37ZR241,Ford-Davies,Liverpool,"Flat 56k
McCarthy spurs",L13 0UP,whaynes@example.net,07643 273560
LURB00ZZ710,Bennett Inc,Vale of White Horse,"Flat 29d
Lucy green",OX12 8NY,anndixon@example.net,07036 735354
PHVC68UR840,Lambert LLC,Maidstone,0 Mason park,TN12 6PA,justinshah@example.com,07946 421860
WQEX03UM552,Richardson Ltd,Westminster,9 Bethan port,WC2H 0YB,hallbernard@example.net,07648 118932
TKBF07XJ197,"Hewitt, Baker and Ball",Newcastle,480 Bennett stravenue,NE13 6WP,jasmine42@example.org,07595 999067
MEGK28TO339,Woodward-Cox,Norfolk,"Studio 63T
Denis ridges",NR31 7FS,matthewssteven@example.com,07127 038382
VDSN02LO561,Matthews LLC,Bracknell Forest,"Flat 93
Short cove",RG42 4WB,gerald48@example.net,07751 492719
UBYO89LJ515,Gregory-Ball,Cornwall,8 Bishop meadows,TR15 3BQ,bandrews@example.com,07918 887285
DXQC82SF416,Payne Inc,Tower Hamlets,"Studio 21t
Edwards drive",E1 4PP,karcher@example.net,07885 986125
NJJX13AO239,Hargreaves-Simmons,Fylde,954 Lowe island,PR3 6ZQ,amandarowley@example.org,07736 780902
